"id","Means"
79,14507.8333333333
80,14527.5833333333
81,14543.3333333333
82,14544.6666666667
83,14529.75
84,14519.25
85,14537.0833333333
86,14545.1666666667
814,14573.6666666667
815,14544.4444444445
816,14493.4444444444
817,14506.625
818,14525.75
819,14534.7916666667
820,14507.9583333333
821,14496.6666666667
822,14529.875
823,14547.1666666667
1549,14670.8333333333
1550,14670.5833333333
1551,14615.3888888889
1552,14538.5833333333
1553,14450.2083333333
1554,14433.6666666667
1555,14466.0833333333
1556,14491.3333333333
1557,14466.625
1558,14475.5
1559,14512.25
1560,14522.9166666667
2285,14687.8333333333
2286,14672.7777777778
2287,14660.2916666667
2288,14630.0833333333
2289,14547.6666666667
2290,14420.7083333333
2291,14363.9166666667
2292,14394.2083333333
2293,14417.4583333333
2294,14440.9583333333
2295,14493.875
2296,14516.4583333333
2297,14511.5
3020,14653.3333333333
3021,14661.6666666667
3022,14683.8888888889
3023,14676.625
3024,14652.9166666667
3025,14620.9583333333
3026,14546.1666666667
3027,14440.625
3028,14405.0833333333
3029,14431.875
3030,14409.2083333333
3031,14432.25
3032,14508.125
3033,14530.7916666667
3034,14525.8333333333
3755,14408.3333333333
3756,14543.2222222222
3757,14634.3
3758,14662.7222222222
3759,14679.3055555555
3760,14678.3333333333
3761,14659.8055555555
3762,14621.4722222222
3763,14520.1666666667
3764,14487.3888888889
3765,14516.8333333333
3766,14539.1666666667
3767,14496.5833333333
3768,14458.6666666667
3769,14497.3333333334
3770,14521.6944444445
3771,14513.6111111111
4492,14407.5833333333
4493,14509.4166666667
4494,14631.875
4495,14670.5
4496,14687.5833333333
4497,14685.2916666667
4498,14662.375
4499,14623.625
4500,14517.3888888889
4501,14505.4583333333
4502,14575.875
4503,14589.625
4504,14562.5833333333
4505,14525.875
4506,14521.4166666667
4507,14526.2083333333
4508,14527.5833333333
5228,14516.3333333333
5229,14451.3333333333
5230,14509.75
5231,14626.5833333333
5232,14665.3333333333
5233,14678.2083333333
5234,14676.0416666667
5235,14657.9166666667
5236,14620.1666666667
5237,14522.25
5238,14488.2916666667
5239,14569.375
5240,14604.25
5241,14597.6666666667
5242,14580.9583333333
5243,14566.75
5244,14542
5245,14535.1666666667
5965,14538.75
5966,14514.6666666667
5967,14538
5968,14618.8333333333
5969,14650.5416666667
5970,14656.75
5971,14664.2916666667
5972,14652.375
5973,14621
5974,14536.5277777778
5975,14491.25
5976,14569.7916666667
5977,14621.6666666667
5978,14625.3333333333
5979,14619.5833333333
5980,14606.0416666667
5981,14580.0833333333
5982,14572
6702,14600.25
6703,14588.7083333333
6704,14573.7916666667
6705,14608.4166666667
6706,14639.25
6707,14639.25
6708,14646.8333333333
6709,14647
6710,14637.1666666667
6711,14576.9722222222
6712,14519.1666666667
6713,14569
6714,14606.8333333333
6715,14611.5
6716,14620.2916666667
6717,14615.9166666667
6718,14606.2083333333
6719,14604.5833333333
7439,14635.3333333333
7440,14622.0833333333
7441,14592.9166666667
7442,14593.5833333333
7443,14617.0833333333
7444,14624.375
7445,14622.5416666667
7446,14625.375
7447,14636.0833333333
7448,14618.2222222222
7449,14558.2083333333
7450,14552.1666666667
7451,14572.875
7452,14587.0833333333
7453,14608.5416666667
7454,14614.5
7455,14615.75
7456,14618.75
8175,14627.8333333333
8176,14619.6666666666
8177,14605.9166666667
8178,14582.9583333333
8179,14571.0416666667
8180,14589.9583333333
8181,14612.5
8182,14615.1666666667
8183,14610.375
8184,14620.2916666667
8185,14628.4166666667
8186,14594.7083333333
8187,14555.0833333333
8188,14540.9583333333
8189,14549.7083333333
8190,14579.7083333333
8191,14611
8192,14626.7916666667
8193,14629.9166666667
8912,14629
8913,14612.875
8914,14587.875
8915,14572.0833333333
8916,14567.5833333333
8917,14584.2083333333
8918,14604.5833333333
8919,14613.2083333333
8920,14610.3333333333
8921,14610.6666666667
8922,14622.75
8923,14618.625
8924,14586.9166666667
8925,14545.9583333333
8926,14527.9583333333
8927,14557.5833333333
8928,14594.625
8929,14615.75
8930,14627.8333333333
9649,14613.8333333333
9650,14598.5416666667
9651,14575
9652,14570.625
9653,14574.9166666667
9654,14585.4583333333
9655,14598.7916666667
9656,14604.5416666667
9657,14598.5833333333
9658,14597.3333333333
9659,14613.5555555555
9660,14615
9661,14602.9166666667
9662,14568.5
9663,14541.4166666667
9664,14563.8333333333
9665,14595.5833333333
9666,14621.3333333333
9667,14633.1666666666
9668,14630.3333333333
10386,14587.3333333333
10387,14574
10388,14557.5
10389,14570.2083333333
10390,14587.5416666667
10391,14585.9583333333
10392,14586.2083333333
10393,14586.125
10394,14582.2083333333
10395,14585.3333333333
10396,14599.1388888889
10397,14578.9166666667
10398,14554.5833333333
10399,14538.5833333333
10400,14547.1666666667
10401,14583.875
10402,14618.9166666667
10403,14640.2916666667
10404,14638.0833333333
10405,14633.9166666667
11122,14523.6666666667
11123,14558.5
11124,14556
11125,14531.7916666667
11126,14551.5833333333
11127,14576.0833333333
11128,14569.7083333333
11129,14562.25
11130,14557.125
11131,14564.125
11132,14572.8333333333
11133,14571
11134,14526.875
11135,14494
11136,14507.2916666667
11137,14556.4583333333
11138,14597.6666666667
11139,14624.2916666667
11140,14641.5833333333
11141,14636.2083333333
11142,14632.1666666667
11855,14542.5
11856,14512.8333333333
11857,14448.1666666666
11858,14450.1666666667
11859,14490.5555555555
11860,14518.6666666667
11861,14516.75
11862,14498.7083333333
11863,14521.7083333333
11864,14549.2916666667
11865,14553
11866,14541.0416666667
11867,14528.5833333333
11868,14534.4583333333
11869,14543.0833333333
11870,14535.7777777778
11871,14485.25
11872,14468.3333333333
11873,14505.0833333333
11874,14565.5
11875,14598.9166666667
11876,14621.25
11877,14636.5
11878,14613.1666666667
11879,14598
12590,14688.1666666667
12591,14653.5
12592,14581.0555555555
12593,14541.4583333333
12594,14488.1388888889
12595,14475.7916666667
12596,14484.9166666667
12597,14494.0833333333
12598,14486.375
12599,14488.6666666667
12600,14513.875
12601,14541.6666666667
12602,14548.375
12603,14527.375
12604,14506.1666666667
12605,14507.2916666667
12606,14531.5416666667
12607,14527.2777777778
12608,14474.625
12609,14468.375
12610,14512.4583333333
12611,14565.125
12612,14594.9166666667
12613,14612.9583333333
12614,14620.1666666667
12615,14598.7916666667
12616,14585.1666666667
13324,14550.5
13325,14554.75
13326,14626.6666666667
13327,14664.8
13328,14658.0833333333
13329,14636.25
13330,14616.4722222222
13331,14560.537037037
13332,14517.4166666666
13333,14506.9166666667
13334,14520.8333333334
13335,14518
13336,14517.0277777778
13337,14530.4444444445
13338,14536
13339,14531.4722222222
13340,14517.3611111111
13341,14498.6944444445
13342,14498.7222222222
13343,14534.7222222222
13344,14554.8518518519
13345,14533.1666666667
13346,14531.4722222222
13347,14551.5833333333
13348,14566.0277777778
13349,14575.75
13350,14588.5
13351,14605.1111111111
13352,14605.8888888889
13353,14601.3333333333
14060,14530.6666666667
14061,14544.3333333333
14062,14571
14063,14635.625
14064,14669.25
14065,14654.9583333333
14066,14649.75
14067,14643.375
14068,14599.5277777778
14069,14525.3333333333
14070,14495.875
14071,14509.4166666667
14072,14509.875
14073,14519.125
14074,14541.2916666667
14075,14543.4166666667
14076,14529.5416666667
14077,14505.8333333333
14078,14473.25
14079,14475
14080,14523.7083333333
14081,14573.8333333333
14082,14577.5833333333
14083,14569.5
14084,14567.875
14085,14561.4583333333
14086,14552.4583333333
14087,14560.375
14088,14585.875
14089,14597.4583333333
14090,14594.3333333333
14795,14545.5
14796,14511.8333333333
14797,14505.2222222222
14798,14538.2916666667
14799,14589.3333333333
14800,14649.7916666667
14801,14684.5
14802,14674.75
14803,14663.4166666667
14804,14658.6666666667
14805,14622.0277777778
14806,14531.6666666667
14807,14491.2916666667
14808,14494.375
14809,14497.8333333333
14810,14520.0416666667
14811,14545.625
14812,14554.4583333333
14813,14526.375
14814,14475.2083333333
14815,14425.375
14816,14433.4166666667
14817,14505.5
14818,14574.5833333333
14819,14579.6666666667
14820,14575.3333333333
14821,14580.1666666667
14822,14584.25
14823,14566.0833333333
14824,14551.0833333333
14825,14558
14826,14567.2083333333
14827,14569.1666666667
15531,14552.3333333333
15532,14535.4444444445
15533,14491.4166666667
15534,14478.2083333333
15535,14532.0416666667
15536,14595.375
15537,14651.7083333333
15538,14689.2083333333
15539,14695.8333333333
15540,14688.5416666667
15541,14675.9166666667
15542,14624.8333333333
15543,14534.4583333333
15544,14498.9166666667
15545,14495.7916666667
15546,14500.2083333333
15547,14525.25
15548,14538.9166666667
15549,14538.75
15550,14503.25
