"id","w2_1_30"
79,15976
80,16011.5
81,16077.5
82,16104
83,16101
84,16106
85,16044
86,15978
814,16104
815,15996.3333333333
816,15884.6666666667
817,15925.25
818,16010.25
819,16099
820,16121.25
821,16115.75
822,16043.25
823,15977
1549,16092
1550,16092.5
1551,16100
1552,15994.8333333333
1553,15831.5
1554,15783
1555,15858.25
1556,16000.25
1557,16058.5
1558,16050.75
1559,15974.75
1560,15907
2285,16091
2286,16076
2287,16080.75
2288,16065.75
2289,15959.6666666667
2290,15833.75
2291,15769.25
2292,15821.75
2293,15904.25
2294,15938.75
2295,15922.75
2296,15859
2297,15811.5
3020,16125
3021,16125.5
3022,16114.6666666667
3023,16097.75
3024,16098.75
3025,16024.25
3026,15894.1666666667
3027,15890.25
3028,15892.5
3029,15955
3030,15952.75
3031,15885.25
3032,15852.75
3033,15800
3034,15763.5
3755,15673
3756,15917.3333333333
3757,16091.6
3758,16126.8333333333
3759,16127.1666666667
3760,16127.5
3761,16119.1666666667
3762,16005.1666666667
3763,15832.2222222222
3764,15940
3765,16045.3333333333
3766,16083
3767,16032
3768,15883.1666666667
3769,15809
3770,15771.6666666667
3771,15743
4492,15690
4493,15847
4494,16064
4495,16127
4496,16128.25
4497,16127
4498,16114
4499,16017.5
4500,15826.1666666667
4501,15942.5
4502,16110
4503,16117.5
4504,16086.75
4505,15948
4506,15824
4507,15807.5
4508,15807.5
5228,15833
5229,15760.3333333333
5230,15846.25
5231,16046.25
5232,16125.75
5233,16126.75
5234,16126.5
5235,16098.5
5236,16001.75
5237,15860
5238,15939.5
5239,16094.5
5240,16109
5241,16119.25
5242,16054.25
5243,15918.25
5244,15865.5
5245,15865.5
5965,15900
5966,15830.25
5967,15830.25
5968,16012
5969,16124.5
5970,16125.5
5971,16126.5
5972,16083.25
5973,16003.75
5974,15902.1666666667
5975,15905.5
5976,16061.5
5977,16118.5
5978,16119
5979,16105
5980,16046.25
5981,16001.5
5982,16001.5
6702,16030
6703,15951.5
6704,15868.25
6705,15994.5
6706,16125.25
6707,16125.5
6708,16127.25
6709,16098.5
6710,16068.75
6711,15979.8333333333
6712,15868.25
6713,15967.25
6714,16062
6715,16104.5
6716,16129.25
6717,16121.5
6718,16104.75
6719,16105
7439,16109
7440,16037.25
7441,15965.25
7442,16023.25
7443,16095.75
7444,16118.75
7445,16120.5
7446,16105.5
7447,16105.75
7448,16075.1666666667
7449,15921.75
7450,15880.25
7451,15967.5
7452,16070.75
7453,16137.75
7454,16120.75
7455,16112.75
7456,16122
8175,16123
8176,16113.3333333333
8177,16036.5
8178,15964.25
8179,15982.25
8180,16032.75
8181,16097
8182,16121
8183,16113.25
8184,16091.75
8185,16099.6666666667
8186,15997
8187,15877.25
8188,15911.75
8189,16009
8190,16088.5
8191,16096
8192,16120.75
8193,16138.5
8912,16123
8913,16092.75
8914,16013
8915,15946
8916,15928.5
8917,15996.5
8918,16096.5
8919,16128.75
8920,16128.75
8921,16070
8922,16066
8923,16048.5
8924,15965.25
8925,15947.25
8926,15983.75
8927,16054.5
8928,16070.75
8929,16104.75
8930,16138.5
9649,16106.5
9650,16084.25
9651,16029.75
9652,15980.5
9653,15927.5
9654,15977.75
9655,16087.5
9656,16120
9657,16128
9658,16079
9659,16052.8333333333
9660,16091
9661,16052.5
9662,16019.25
9663,16035
9664,16085.5
9665,16095.25
9666,16113.75
9667,16139
9668,16139
10386,16089.5
10387,16075.25
10388,16046.5
10389,16014.75
10390,15979.5
10391,15979.75
10392,16030.75
10393,16072.5
10394,16104.75
10395,16108.5
10396,16085.8333333333
10397,16064
10398,15997
10399,15982
10400,16059
10401,16099
10402,16109
10403,16128.75
10404,16120.25
10405,16120.5
11122,15889
11123,16002.6666666667
11124,16027.5
11125,15996
11126,16014
11127,16014
11128,15979
11129,15979.25
11130,16015.25
11131,16072.5
11132,16111.5
11133,16074.1666666667
11134,15961.5
11135,15875.25
11136,15910.25
11137,16049.25
11138,16096.5
11139,16097.5
11140,16103
11141,16069.25
11142,16069.5
11855,15823
11856,15777.5
11857,15674.3333333333
11858,15679.5
11859,15814.6666666667
11860,15907.5
11861,15925.25
11862,15908
11863,15977.5
11864,16013.25
11865,15996
11866,15978.25
11867,15996.5
11868,16047.75
11869,16045.5
11870,15983.5
11871,15861.25
11872,15797.5
11873,15880
11874,16048.5
11875,16096.25
11876,16097.25
11877,16086.5
11878,16018.25
11879,16000
12590,16113
12591,16035
12592,15867.3333333333
12593,15815.75
12594,15722.8333333333
12595,15696.75
12596,15764.25
12597,15813.25
12598,15826
12599,15873
12600,15959
12601,15994.75
12602,15995
12603,15977.25
12604,15977.75
12605,15996
12606,15978.25
12607,15925.3333333333
12608,15812.75
12609,15783.5
12610,15879
12611,16038.5
12612,16106
12613,16116.25
12614,16085.75
12615,15999
12616,15962.5
13324,15820
13325,15851.5
13326,16033.6666666667
13327,16103.2
13328,16074.1666666667
13329,16027
13330,16016.5
13331,15885.1111111111
13332,15756.8333333333
13333,15784.5
13334,15836.5
13335,15867.8333333333
13336,15923.1666666667
13337,15958
13338,15958
13339,15958
13340,15970.1666666667
13341,15970.6666666667
13342,15946.8333333333
13343,15958.8333333333
13344,15990.8888888889
13345,15951.1666666667
13346,15941
13347,15985.3333333333
13348,16006.8333333333
13349,16011.5
13350,16053.5
13351,16083.1666666667
13352,16054.5
13353,16031.6666666667
14060,15819
14061,15802.3333333333
14062,15838.5
14063,15996.75
14064,16101.5
14065,16085
14066,16078.25
14067,16096.25
14068,16044
14069,15888.75
14070,15839.25
14071,15884.5
14072,15902.5
14073,15938.5
14074,15974.25
14075,15992
14076,15974.25
14077,15938.75
14078,15921
14079,15921
14080,15957.25
14081,16049.3333333333
14082,16061.75
14083,16046.5
14084,16047
14085,15941.75
14086,15828.5
14087,15881.75
14088,16012
14089,16049.5
14090,16033.5
14795,15882
14796,15850.5
14797,15818.6666666667
14798,15805.75
14799,15837.75
14800,15996.25
14801,16109.25
14802,16101
14803,16094.25
14804,16104
14805,16098
14806,15950.5
14807,15850.75
14808,15883
14809,15901
14810,15937.25
14811,15991
14812,16026.5
14813,15956.75
14814,15856
14815,15854.25
14816,15883.5
14817,15920
14818,16036.3333333333
14819,16045.5
14820,16046
14821,16062.25
14822,15975.25
14823,15829.5
14824,15810.75
14825,15904.25
14826,15995.25
14827,16032.5
15531,15818
15532,15839.3333333333
15533,15811.75
15534,15773
15535,15772.5
15536,15844.5
15537,16013
15538,16109.25
15539,16109.5
15540,16110.75
15541,16112.5
15542,16060.6666666667
15543,15917.25
15544,15849.5
15545,15881.5
15546,15899.5
