"id","w2_1_30"
79,15192
80,15279
81,15281
82,15198
83,15085
84,14971.5
85,15089.5
86,15206
814,15199
815,15257
816,15198.3333333333
817,15239.5
818,15238
819,15137.75
820,14948.5
821,14815.75
822,15009.5
823,15203
1549,15573
1550,15572.5
1551,15381.6666666667
1552,15219.8333333333
1553,15009.25
1554,14932.25
1555,15006.75
1556,14948.25
1557,14739.75
1558,14741
1559,15010.5
1560,15204
2285,15595
2286,15587.3333333333
2287,15578
2288,15505
2289,15272.8333333333
2290,14788.5
2291,14488.25
2292,14565.75
2293,14566
2294,14656.75
2295,15001.5
2296,15237.5
2297,15296
3020,15597
3021,15591
3022,15593
3023,15596
3024,15584.25
3025,15537.25
3026,15324.3333333333
3027,14792.25
3028,14568.75
3029,14569.25
3030,14403.5
3031,14647
3032,15182
3033,15385
3034,15385.5
3755,14969
3756,15356
3757,15573
3758,15586.5
3759,15589.5
3760,15596.3333333333
3761,15586.8333333333
3762,15563.8333333333
3763,15318.1111111111
3764,15045.5
3765,15007.5
3766,15007.5
3767,14807.3333333333
3768,14769.1666666667
3769,15105
3770,15302.3333333333
3771,15274.6666666667
4492,14969
4493,15277.5
4494,15580.75
4495,15580
4496,15584.75
4497,15592.25
4498,15593.75
4499,15582.75
4500,15344.6666666667
4501,15199
4502,15301
4503,15301.25
4504,15142.5
4505,15042.75
4506,15160.5
4507,15219.75
4508,15220
5228,15375
5229,15104.3333333333
5230,15270.5
5231,15568.5
5232,15575
5233,15588.75
5234,15596.25
5235,15599.75
5236,15570.25
5237,15342.6666666667
5238,15141.25
5239,15343.75
5240,15417.5
5241,15317.25
5242,15275.5
5243,15334.5
5244,15263
5245,15221.5
5965,15375
5966,15304.25
5967,15402.75
5968,15572.75
5969,15579.25
5970,15592.75
5971,15600.25
5972,15596
5973,15572.25
5974,15385.8333333333
5975,15158
5976,15332
5977,15478.5
5978,15479.25
5979,15479.5
5980,15480
5981,15378.25
5982,15306.5
6702,15476
6703,15506.25
6704,15555.25
6705,15582
6706,15587.25
6707,15589
6708,15596.75
6709,15596
6710,15590.5
6711,15477.3333333333
6712,15259
6713,15332.5
6714,15447.75
6715,15448.75
6716,15498
6717,15528.75
6718,15451
6719,15391
7439,15577.5
7440,15583
7441,15588
7442,15587.25
7443,15589.75
7444,15593.25
7445,15597.25
7446,15595
7447,15589.25
7448,15538
7449,15374.25
7450,15344.75
7451,15387.25
7452,15388.5
7453,15468.5
7454,15529.5
7455,15499.25
7456,15487
8175,15577
8176,15577.3333333333
8177,15583.75
8178,15589.75
8179,15583.5
8180,15585.5
8181,15594
8182,15597.75
8183,15590
8184,15589.5
8185,15562
8186,15477.25
8187,15375.75
8188,15304.5
8189,15305.75
8190,15409.25
8191,15529.75
8192,15565.5
8193,15583.5
8912,15577
8913,15558.25
8914,15539.75
8915,15540.75
8916,15560.25
8917,15582.75
8918,15586.75
8919,15594.25
8920,15590.25
8921,15584.25
8922,15570.8333333333
8923,15544.25
8924,15454.75
8925,15335.25
8926,15306
8927,15379
8928,15499.5
8929,15548
8930,15548.5
9649,15539
9650,15489.5
9651,15440.25
9652,15472
9653,15541.5
9654,15583.5
9655,15582.25
9656,15585.5
9657,15568.25
9658,15561
9659,15580
9660,15562.75
9661,15526.75
9662,15449
9663,15389.5
9664,15390.5
9665,15469.5
9666,15530.5
9667,15513.3333333333
9668,15514
10386,15439
10387,15408.5
10388,15378.5
10389,15441
10390,15541
10391,15587
10392,15590
10393,15584.25
10394,15563.5
10395,15543.75
10396,15556.3333333333
10397,15496.25
10398,15448.5
10399,15419.25
10400,15389.75
10401,15438.5
10402,15535.25
10403,15566
10404,15531.25
10405,15514
11122,15374
11123,15417
11124,15408
11125,15336.25
11126,15368
11127,15491.25
11128,15547.25
11129,15553.75
11130,15549.25
11131,15562.5
11132,15544.5
11133,15500.1666666667
11134,15376.75
11135,15306
11136,15348.25
11137,15420.25
11138,15516.5
11139,15587.5
11140,15592.75
11141,15553.5
11142,15514
11855,15361
11856,15278
11857,15122
11858,15203
11859,15261.3333333333
11860,15322.25
11861,15324
11862,15294
11863,15337
11864,15411
11865,15473.25
11866,15474.25
11867,15445
11868,15464.5
11869,15495.75
11870,15468.3333333333
11871,15306
11872,15265.25
11873,15378.5
11874,15480.5
11875,15546.5
11876,15587.5
11877,15575.25
11878,15506
11879,15454.5
12590,15559
12591,15560
12592,15495
12593,15371.25
12594,15244.6666666667
12595,15286.5
12596,15288.75
12597,15291
12598,15251.25
12599,15294.5
12600,15379.25
12601,15411
12602,15442.5
12603,15413
12604,15342.25
12605,15343.75
12606,15465.25
12607,15480.6666666667
12608,15306.75
12609,15307.25
12610,15450.25
12611,15528.75
12612,15569.5
12613,15570.25
12614,15531
12615,15501.75
12616,15490
13324,15476
13325,15412.5
13326,15491.3333333333
13327,15568.8
13328,15573.6666666667
13329,15567.6666666667
13330,15516.5
13331,15415.1111111111
13332,15340.8333333333
13333,15316.3333333333
13334,15387.5
13335,15389.1666666667
13336,15370
13337,15398.8333333333
