"id","w2_1_30"
79,13340
80,13339.5
81,13347
82,13364
83,13390.5
84,13408
85,13407
86,13406
814,13379
815,13371.6666666667
816,13346.3333333333
817,13344
818,13351.25
819,13364
820,13381.75
821,13399.25
822,13422.5
823,13437
1549,13418
1550,13417.5
1551,13392
1552,13372.1666666667
1553,13354
1554,13357.75
1555,13365.5
1556,13378.25
1557,13391.5
1558,13400
1559,13423.25
1560,13438
2285,13419
2286,13418.3333333333
2287,13417.5
2288,13407.75
2289,13382.3333333333
2290,13368.5
2291,13372.25
2292,13376
2293,13408.25
2294,13425.5
2295,13400.5
2296,13390.75
2297,13390.5
3020,13422
3021,13421.5
3022,13420
3023,13410
3024,13409
3025,13417.25
3026,13385.6666666667
3027,13374
3028,13387
3029,13395
3030,13433.5
3031,13441.5
3032,13392
3033,13382.25
3034,13391
3755,13368
3756,13393
3757,13415.6
3758,13432.1666666667
3759,13431.3333333333
3760,13424.5
3761,13411.3333333333
3762,13394
3763,13376.3333333333
3764,13376.5
3765,13396.8333333333
3766,13413.8333333333
3767,13443.5
3768,13463
3769,13425.5
3770,13414.3333333333
3771,13430
4492,13368.5
4493,13387.25
4494,13405.5
4495,13444.25
4496,13467.75
4497,13467
4498,13441.75
4499,13392
4500,13375.3333333333
4501,13380.5
4502,13388.75
4503,13406
4504,13444.5
4505,13474
4506,13442.5
4507,13441.5
4508,13471.5
5228,13390
5229,13382.6666666667
5230,13383.5
5231,13396.75
5232,13445
5233,13484
5234,13483
5235,13451.5
5236,13401.75
5237,13375.8333333333
5238,13381
5239,13389.25
5240,13421.75
5241,13445
5242,13459.25
5243,13443.25
5244,13427.25
5245,13442
5965,13409
5966,13408.5
5967,13398.25
5968,13406.5
5969,13439.5
5970,13469.25
5971,13483.5
5972,13467.25
5973,13426.5
5974,13397.6666666667
5975,13400
5976,13408
5977,13431.25
5978,13430.25
5979,13429.25
5980,13428.5
5981,13412.5
5982,13412
6702,13499
6703,13478.25
6704,13432.5
6705,13416.25
6706,13440
6707,13469.75
6708,13484
6709,13483
6710,13466.75
6711,13450.1666666667
6712,13433.75
6713,13417.5
6714,13416.5
6715,13406.75
6716,13421
6717,13429
6718,13413
6719,13412.5
7439,13530
7440,13509.25
7441,13457.5
7442,13426
7443,13455.75
7444,13470.25
7445,13454
7446,13453
7447,13467.25
7448,13481
7449,13464.5
7450,13433.25
7451,13417
7452,13407.25
7453,13421.5
7454,13444.75
7455,13444
7456,13443.5
8175,13431
8176,13450.3333333333
8177,13474.75
8178,13458.5
8179,13417.75
8180,13432
8181,13440.25
8182,13424
8183,13414
8184,13428.25
8185,13471.3333333333
8186,13480.25
8187,13449.25
8188,13418
8189,13417
8190,13416
8191,13430.25
8192,13459.75
8193,13474.5
8912,13461.5
8913,13461
8914,13475.25
8915,13474.25
8916,13448.75
8917,13432.75
8918,13416.75
8919,13415.75
8920,13405.75
8921,13404.75
8922,13462
8923,13481
8924,13465
8925,13433.75
8926,13417.5
8927,13416.75
8928,13431
8929,13480.25
8930,13515
9649,13492
9650,13476.5
9651,13460.5
9652,13474.75
9653,13489
9654,13457.75
9655,13408.25
9656,13398.25
9657,13397.25
9658,13405.25
9659,13462.5
9660,13466.5
9661,13465.5
9662,13449.25
9663,13418
9664,13432.25
9665,13481.5
9666,13535.5
9667,13528.3333333333
9668,13475
10386,13492.5
10387,13461.75
10388,13430.5
10389,13480
10390,13509.5
10391,13449
10392,13394.5
10393,13384.5
10394,13388.5
10395,13405.75
10396,13442.8333333333
10397,13436.5
10398,13435.5
10399,13434.5
10400,13433.75
10401,13463
10402,13516.75
10403,13578.5
10404,13580.75
10405,13560.5
11122,13494
11123,13493.3333333333
11124,13462.25
11125,13431
11126,13465.25
11127,13479.5
11128,13434.25
11129,13389.75
11130,13374.75
11131,13384
11132,13406.5
11133,13417.3333333333
11134,13412.75
11135,13421
11136,13420
11137,13434.25
11138,13463.5
11139,13517.25
11140,13602
11141,13647
11142,13646.5
11855,13671
11856,13624.5
11857,13550.6666666667
11858,13496.5
11859,13495
11860,13494
11861,13478
11862,13437.75
11863,13421.75
11864,13445
11865,13444
11866,13399.5
11867,13370.25
11868,13379.75
11869,13398.25
11870,13399.8333333333
11871,13395.25
11872,13412.75
11873,13421
11874,13420
11875,13449
11876,13517.75
11877,13579.5
11878,13601.5
11879,13601
12590,13774
12591,13723
12592,13671.3333333333
12593,13647.75
12594,13566.3333333333
12595,13496.5
12596,13495.5
12597,13479.5
12598,13478.5
12599,13453.25
12600,13422.25
12601,13445.5
12602,13444.5
12603,13400
12604,13366.25
12605,13370.75
12606,13379.5
12607,13381.5
12608,13382
12609,13404.25
12610,13421.5
12611,13420.5
12612,13434.5
12613,13503
12614,13556.75
12615,13556
12616,13555.5
13324,13585
13325,13584.5
13326,13644.3333333333
13327,13675.6
13328,13659
13329,13641.1666666667
13330,13640.5
13331,13571.8888888889
13332,13550
13333,13522.6666666667
13334,13465.1666666667
13335,13444.1666666667
13336,13453.1666666667
13337,13452.1666666667
13338,13441.3333333333
13339,13430.5
13340,13404.3333333333
13341,13369
13342,13364.8333333333
13343,13370
13344,13380.1111111111
13345,13390.6666666667
13346,13411.1666666667
13347,13422.1666666667
13348,13441.1666666667
13349,13460.1666666667
13350,13482.3333333333
13351,13504.6666666667
13352,13504
13353,13503.6666666667
14060,13507
14061,13559.3333333333
14062,13607.75
14063,13677.75
14064,13653.75
14065,13561.75
14066,13561
14067,13560
14068,13538.6666666667
14069,13577.25
14070,13536.75
14071,13481
14072,13449.75
14073,13463.75
14074,13493
14075,13477.25
14076,13446.5
14077,13421.25
14078,13406
14079,13391
14080,13381
14081,13392.6666666667
14082,13388.5
14083,13396.5
14084,13428.75
14085,13467
14086,13481
14087,13480
14088,13464
14089,13448.25
14090,13448
14795,13449
14796,13448.5
14797,13487.6666666667
14798,13546.75
14799,13631
14800,13700.75
14801,13702
14802,13610.25
14803,13561.5
14804,13540.75
14805,13539.1666666667
14806,13577.5
14807,13537
14808,13496.5
14809,13480.25
14810,13479.25
