"id","w2_1_30"
79,27
80,27
81,27.5
82,28
83,27.5
84,27
85,27
86,27
814,27
815,27
816,27
817,27
818,27.5
819,28
820,27.75
821,27.25
822,27.25
823,27.5
1549,26
1550,26
1551,26.6666666666667
1552,27
1553,27
1554,27
1555,27.25
1556,27.75
1557,28
1558,27.5
1559,27.5
1560,28
2285,27
2286,26.6666666666667
2287,26.5
2288,26.75
2289,27.1666666666667
2290,27
2291,27
2292,27
2293,27.25
2294,27.75
2295,27.75
2296,27.75
2297,28
3020,26
3021,26
3022,26.6666666666667
3023,27
3024,27
3025,27
3026,27.3333333333333
3027,27
3028,27
3029,27
3030,27
3031,27.5
3032,28
3033,28
3034,28
3755,27
3756,26.3333333333333
3757,26.2
3758,26.1666666666667
3759,26.3333333333333
3760,26.8333333333333
3761,27
3762,27
3763,27.4444444444444
3764,27.1666666666667
3765,27
3766,27
3767,27.1666666666667
3768,27.6666666666667
3769,28
3770,28
3771,28
4492,27
4493,26.5
4494,26
4495,26
4496,26
4497,26.5
4498,27
4499,27
4500,27.3333333333333
4501,27.5
4502,27.5
4503,27.5
4504,27.75
4505,28
4506,28
4507,28
4508,28
5228,27
5229,27
5230,26.5
5231,26
5232,26
5233,26.25
5234,26.75
5235,27
5236,26.75
5237,27.1666666666667
5238,28
5239,28
5240,27.75
5241,27.75
5242,27.75
5243,27.75
5244,28
5245,28
5965,27
5966,27
5967,26.75
5968,26.25
5969,26
5970,26.25
5971,26.75
5972,27
5973,26.75
5974,27.1666666666667
5975,27.75
5976,27.5
5977,27.25
5978,27.25
5979,27.5
5980,27.75
5981,28
5982,28
6702,27
6703,27
6704,27
6705,26.5
6706,26
6707,26
6708,26.5
6709,26.75
6710,26.75
6711,27.3333333333333
6712,27.5
6713,27
6714,27
6715,27
6716,27.5
6717,28
6718,28
6719,28
7439,27
7440,27
7441,27
7442,26.75
7443,26.5
7444,26.25
7445,26.5
7446,26.75
7447,26.75
7448,27.3333333333333
7449,27.5
7450,27
7451,27
7452,27
7453,27.5
7454,27.75
7455,27.75
7456,28
8175,26
8176,26.6666666666667
8177,27
8178,27
8179,27
8180,27
8181,26.75
8182,26.75
8183,27
8184,27
8185,27.3333333333333
8186,27.5
8187,27
8188,27
8189,27.25
8190,27.75
8191,27.75
8192,27.75
8193,28
8912,26
8913,26.5
8914,27
8915,27
8916,27
8917,27
8918,27
8919,27
8920,27
8921,27
8922,27.1666666666667
8923,27.25
8924,27.25
8925,27.5
8926,27.75
8927,28
8928,28.25
8929,28.25
8930,28
9649,26
9650,26.5
9651,27
9652,27
9653,27
9654,27
9655,27
9656,27.25
9657,27.25
9658,27
9659,27.1666666666667
9660,27.25
9661,27.5
9662,27.75
9663,28
9664,28.25
9665,28.75
9666,28.75
9667,28.3333333333333
9668,28
10386,26
10387,26.5
10388,27
10389,27
10390,27
10391,27
10392,27.25
10393,27.75
10394,27.5
10395,27
10396,27.1666666666667
10397,27.5
10398,27.75
10399,27.75
10400,28
10401,28.25
10402,28.75
10403,29
10404,28.5
10405,28
11122,26
11123,26
11124,26.5
11125,27
11126,27
11127,27
11128,27
11129,27.5
11130,28
11131,27.75
11132,27.5
11133,27.1666666666667
11134,27.5
11135,28
11136,28
11137,27.75
11138,27.75
11139,28.25
11140,28.75
11141,28.5
11142,28
11855,27
11856,27
11857,26.6666666666667
11858,27
11859,26.3333333333333
11860,26
11861,26.5
11862,27
11863,27
11864,27
11865,27
11866,27.5
11867,28
11868,28
11869,27.75
11870,27.1666666666667
11871,27.25
11872,27.75
11873,28
11874,27.5
11875,27.5
11876,28
11877,28
11878,28
11879,28
12590,25
12591,25.5
12592,26.3333333333333
12593,26.5
12594,26.3333333333333
12595,26.75
12596,26.75
12597,26.5
12598,26.75
12599,27
12600,27
12601,27
12602,27
12603,27.25
12604,27.75
12605,28
12606,27.5
12607,27
12608,27
12609,27.5
12610,27.75
12611,27.5
12612,27.5
12613,27.75
12614,27.5
12615,27.5
12616,28
13324,26
13325,26
13326,25.6666666666667
13327,25.6
13328,25.5
13329,25.5
13330,25.8333333333333
13331,26.3333333333333
13332,26.8333333333333
13333,26.8333333333333
13334,26.5
13335,26.3333333333333
13336,26.6666666666667
13337,27
13338,27
13339,27
13340,27.3333333333333
13341,27.5
13342,27.6666666666667
13343,27.5
13344,27
13345,26.8333333333333
13346,26.6666666666667
13347,26.6666666666667
13348,27
13349,27.3333333333333
13350,27.5
13351,27.3333333333333
13352,27.1666666666667
13353,27.3333333333333
14060,26
14061,26
14062,26
14063,25.5
14064,25.25
14065,25.25
14066,25
14067,25.5
14068,26.3333333333333
14069,26.75
14070,27.25
14071,27
14072,26.5
14073,26.75
14074,27
14075,27
14076,27
14077,27.25
14078,27.5
14079,27.5
14080,27.25
14081,27
14082,26.75
14083,26.5
14084,26.75
14085,27
14086,27.5
14087,28
14088,27.75
14089,27.5
14090,27.5
14795,26
14796,26
14797,25.6666666666667
14798,25.75
14799,26
14800,25.75
14801,25.25
14802,25
14803,25
14804,25.5
14805,26
14806,26.5
14807,27.25
14808,27.25
14809,27
14810,27
14811,27
14812,27
14813,27.25
14814,27.5
14815,27.5
14816,27.25
14817,27
14818,27
14819,27
14820,27
14821,27.25
14822,27.5
14823,27.75
14824,28
14825,28
14826,28
14827,28
15531,25
15532,25.3333333333333
15533,25.5
15534,25.25
15535,25.25
15536,25.75
15537,26
15538,25.5
15539,25
15540,25.25
15541,25.75
15542,26
15543,26.25
15544,26.5
15545,26.5
15546,26.75
15547,27
15548,27
15549,27
15550,27.25
15551,27.75
15552,27.75
15553,27.5
15554,27.25
15555,27
15556,27
15557,27
15558,27.5
15559,28
15560,28
15561,28
15562,28
15563,28
15564,28
16267,25
16268,25
16269,25
16270,25
16271,25
16272,25
16273,25.5
16274,26
16275,25.5
16276,25
16277,25.25
16278,25.5
16279,25.8333333333333
16280,26
16281,26
16282,26
16283,26.25
16284,26.75
16285,27
16286,27
16287,27
16288,27.5
16289,27.75
16290,27.5
16291,27.25
16292,27
16293,27
16294,27
16295,27.5
16296,28
16297,28
16298,28
16299,28
16300,28
16301,28
17004,24.3333333333333
17005,24.75
17006,25
17007,25
17008,25
17009,25
17010,25.5
17011,26
17012,25.5
17013,25
17014,25
17015,25
17016,25.6666666666667
17017,26
17018,26
17019,26
17020,26
17021,26.5
17022,27
17023,27
17024,27
17025,27.5
17026,27.25
17027,26.5
17028,26.75
17029,27.1666666666667
17030,27
17031,27
17032,27.25
17033,27.75
17034,28
17035,28
17036,28
17037,28
17038,28
17740,24
17741,24
17742,24.5
17743,25
17744,25
17745,25
17746,25
17747,25.5
17748,26
17749,25.5
17750,25
17751,25
17752,25
17753,25.6666666666667
17754,25.75
17755,25.75
17756,26
17757,26
17758,26.25
17759,26.5
17760,26.75
17761,26.75
17762,26.75
17763,26.5
17764,26
17765,26.5
17766,27.1666666666667
17767,27
17768,27
17769,27
17770,27.5
17771,28
17772,28
17773,28
17774,28.25
17775,28.5
18476,24
18477,24
18478,24
18479,24.25
18480,24.75
18481,25
18482,25
18483,25
18484,25.5
18485,26
18486,25.5
18487,25
18488,25
18489,25.25
18490,25.8333333333333
18491,25.5
18492,25.5
18493,26
18494,26
18495,26
18496,26
18497,26.5
18498,26.5
18499,26
18500,26
18501,26.25
18502,26.75
18503,27
18504,27
18505,27
18506,27
18507,27.25
18508,27.5
18509,27.75
18510,28
18511,28.25
18512,28.5
19212,24
19213,24
19214,24
19215,24
19216,24
19217,24.5
19218,25
19219,25
19220,25
19221,25.25
19222,25.5
19223,25.25
19224,25
19225,25.25
19226,25.5
19227,25.6666666666667
19228,25.75
19229,25.75
19230,26
19231,26
19232,26
19233,26
19234,26.25
19235,26.25
19236,26
19237,26
19238,26.25
19239,26.75
19240,27
19241,27
19242,27
19243,27
19244,27.25
19245,27.25
19246,27.5
19247,28
19248,28
19249,28
19948,24
19949,24
19950,24
19951,24
19952,24
19953,24
19954,24.5
19955,25
19956,25
19957,25
19958,25
19959,25.25
19960,25.5
19961,25.25
19962,25.25
19963,25.25
19964,25.3333333333333
19965,26
19966,26
19967,26
19968,26
19969,26
19970,26
19971,26
19972,26.25
19973,26.5
19974,26.5
19975,26.25
19976,26.25
19977,26.6666666666667
19978,26.75
19979,27
19980,27
19981,27.5
19982,27.5
19983,27.5
19984,28
19985,28
19986,28
20683,24
20684,24
20685,24
20686,24
20687,24
20688,24
20689,24.1666666666667
20690,24.25
20691,24.5
20692,25
20693,25
20694,25
20695,24.75
20696,25.25
20697,26
20698,25.5
20699,25
20700,25
20701,25.3333333333333
20702,26
20703,26
20704,26
20705,26
20706,26
20707,26
20708,26
20709,26.5
20710,27
20711,26.75
20712,26.5
20713,26.25
20714,26.3333333333333
20715,26.75
20716,27
20717,27
20718,27.5
20719,27.5
20720,27.5
20721,28
20722,28
20723,28
21419,24
21420,24
21421,24.25
21422,24.25
21423,24
21424,24
21425,24
21426,24.1666666666667
21427,24.25
21428,24.5
21429,25
21430,25
21431,25
21432,24.5
21433,24.75
21434,25.5
21435,25.25
21436,25
21437,25
21438,25.5
21439,26
21440,26
21441,26
21442,26
21443,25.75
21444,25.75
21445,26
21446,26.5
21447,26.75
21448,26.25
21449,26.5
21450,26.5
