"id","FRP"
80,65.4
81,10.4
82,56.225
84,6.9
85,52.2
814,8.2
815,9.4
817,20.3
818,10.15
819,29.3
820,58.4
821,37.5
822,23.3166666666667
823,39.2666666666667
1551,4.9
1552,9.93333333333333
1556,26.9
1557,41.5
1558,31.2333333333333
1559,39.1111111111111
1560,18.1
2285,73.75
2286,36.2
2287,83.95
2288,89.2
2289,10.3333333333333
2294,38.3
2295,6.7
2296,26.76
2297,40.25
3021,19.4
3022,30.9
3023,14.9666666666667
3024,30.25
3025,242.8
3026,64.6666666666667
3027,16.3
3028,25.5
3033,43.4714285714286
3034,14.6
3756,16
3757,15.4
3758,23.5
3759,21.7571428571429
3760,8.8
3761,44.3111111111111
3762,21.3222222222222
3763,17.1
3765,24.7
3769,33.1
3770,15.3
3771,67.1
4493,19.6
4494,46.9
4495,17.85
4496,33.0571428571429
4497,35.875
4498,33.63
4499,24.4
4500,8.1
5230,195.6
5231,9.1
5232,14.8
5233,26.1571428571429
5234,23.4
5235,21.55
5236,36.7
5238,60.7
5239,23
5242,18.4
5243,31.4
5967,72.95
5968,8.1
5969,21.3
5970,21.9666666666667
5971,9.4
5973,37.0666666666667
5974,14.15
5975,43.76
5976,83.4
5979,377.9
5980,87.2
5982,75.3
6702,50.4
6703,10
6704,51.05
6705,15.8285714285714
6706,22.75
6707,39.2111111111111
6708,21.98
6709,17.5666666666667
6710,168.7
6711,168.6
6712,196.1
6713,15.8
6714,122.1
6715,188.8
6716,220.5
6717,33.5
6718,306.3
6719,62.9
7439,44.1
7440,16.1
7441,36.42
7442,16.1444444444444
7443,26.6
7444,51.3571428571429
7445,23.62
7446,13.35
7447,303.65
7448,152.85
7449,14.8
7454,501.9
7455,185.966666666667
7456,45.3
8176,24.98
8177,42.4
8178,42.75
8179,22.3
8180,66.85
8181,34.1666666666667
8182,23.34
8183,19.3
8184,21.2
8185,379.666666666667
8186,412
8187,178.675
8188,451.05
8192,18.4333333333333
8193,5.1
8913,22.8333333333333
8914,25.1333333333333
8915,75.2
8918,14.6
8919,58.55
8920,18.55
8921,25.6
8922,24.9
8925,1082.2
8926,974.6
8928,300.95
8929,68.5
8930,23.5
9650,94
9651,31.4
9652,28.8
9657,93.05
9658,31.55
9659,123.9
9660,28.6
9661,26.1
9662,17.9
9663,18.35
9664,40.9
9665,75.1
10386,64.6
10387,26.6
10388,12.9
10395,316.45
10396,10.6666666666667
10397,86.5
10398,29.4
10399,293.1
10400,22
10401,17.4
10402,18.05
10403,46.7
10404,19
11123,9.1
11124,93.45
11126,184
11131,321.4
11137,23.24
11138,61.15
11139,20.3333333333333
11140,17.25
11141,8
11854,77.1
11856,36.1
11857,9.5
11858,54.9
11861,51.7333333333333
11862,50.35
11863,90.1
11869,485.1
11871,35
11873,12.9
11874,16.375
11875,23.6
11876,19.5333333333333
11878,13.125
12591,159.9
12593,28.25
12594,16.8
12595,39
12596,37.4
12597,30.9
12605,27.1
12606,14.8
12607,67.5
12608,18.55
12610,9.4
12611,17.58
12612,8.93333333333333
12613,19
12615,10.2
13326,54.45
13327,113.8
13332,9
13333,33.45
13334,23.3
13335,38.2
13339,27
13342,266
13343,34.25
13344,19
13345,21.6
13347,16.3
13348,45.85
13349,65.0666666666667
13350,41.9
13352,50.2666666666667
14061,369.3
14062,70.35
14063,148.683333333333
14064,60.625
14070,43.5
14072,9.5
14073,23.2
14074,20.2
14079,87.2
14080,14.65
14081,42.8
14082,15.7
14083,18.2
14084,33.1
14085,35.6142857142857
14086,47.1666666666667
14087,71.4
14088,26.75
14089,26.06
14797,35.5333333333333
14798,59.3
14799,24.85
14800,119.86
14801,276.9
14802,470.3
14803,9.5
14808,51.6
14809,10.2666666666667
14810,19.3333333333333
14811,57.5
14813,46.4
14817,42.1
14818,33.7
14820,11.2
14821,68.6
14822,41.06
14823,27.9333333333333
14824,27
14825,32.6
14826,14.2333333333333
15533,35.7
15534,58.6
15536,126.225
15537,121.2
15538,70.3333333333333
15545,115.366666666667
15547,30.5333333333333
15549,39.9
15554,8.65
15555,21.8
15556,13.225
15557,22.42
15560,97.8
15561,22.5333333333333
15562,34.85
15563,52
15564,49.4
16269,26.2
16270,12.2
16271,12.6
16272,52.6
16273,18.1
16274,71.3
16275,44.3
16276,9.3
16281,33.4
16282,29.36
16288,28.2
16289,7.9
16290,11
16291,30.6
16292,11.3
16293,17.6
16294,27.4
16296,11.2
16298,37.9166666666667
16299,13.2
16300,38.6
16301,7.4
17008,40
17009,57.6333333333333
17010,93.4333333333333
17011,36.7
17012,16.95
17013,28.95
17025,7.8
17029,6.6
17036,12.6
17037,83.9
17038,6.8
17741,12.7
17742,19.875
17743,24.3
17745,15.3
17746,72.4666666666667
17747,17.65
17748,14.1
17749,31.7
17768,4.3
17771,55.6
17773,8.3
17774,33.85
18476,15.35
18482,19.4
18483,33.7333333333333
18484,18.3
18485,9.3
18489,39.3
18490,28.6
18497,33.1
18498,69
18500,12.4
18504,12.9
18505,4
18509,8.6
18511,26.9
18512,45.65
19225,4.4
19230,5.7
19236,99.9
19237,25.1
19241,19.7
19245,17
19247,72.9
19248,117.333333333333
19950,30.5
19961,23.55
19962,10.7
19963,7.9
19964,16.75
19968,8
19973,22.7
19974,23.55
19975,26.1
19981,4
19983,44.8
19985,63.75
20685,57.8
20688,15.2
20700,42.2
20705,8.7
20709,45.9
20711,27.56
20712,24.8
20713,60.4
20720,40
20721,11.2
21420,21.2
21421,12.1
21422,49.9
21423,5.5
21428,16.6
21429,16.2
21437,15
21438,47.6
21439,6.2
21440,15.4
21442,11.05
21445,18.9
21447,37
21448,128.45
21450,20.2
21451,16.6
21452,23.1
21460,28.4
22157,39.2
22159,18
22160,29.5
22161,13.9
22166,23.25
22173,36
22175,10.65
22176,11.8
22177,24.7
22178,20
22179,17.8571428571429
22180,47.85
22181,106.9
22182,51.4333333333333
22184,31.3
22185,49.9
22187,55.8
22189,89.2
22893,77.7
22894,75.05
22903,12.5
22912,5.3
22913,9.3
22914,7.9
22915,89.6
22916,19.3
22917,10.2
22918,36.3
22919,221.65
22920,12.7
22921,7.1
22923,339.7
22924,88.2
22928,8.7
23630,23.6
23632,6.65
23635,25.7
23636,6.46666666666667
23642,12.8
23646,16.25
23649,6.3
23650,16.275
23651,44.9
23652,43.3
23653,29.1
23654,35.3
23655,252.5
23657,43.3666666666667
23658,11.3333333333333
23660,35.2
23661,195.6
23662,44.7
23669,8.1
23670,10.2
23671,15.1
24368,17.3666666666667
24370,14.5
24372,47.6
24373,9.96666666666667
24374,8.5
24383,8.75
24388,34.8
24389,24
24390,7.53333333333333
24393,28.925
24394,22.125
24395,26.2333333333333
24397,131.5
24402,9.8
24404,71.1
25104,12.8
25105,26.85
25108,15.72
25109,51.05
25110,22.7666666666667
25120,12.1
25124,20.3
25125,28.7
25126,10.2333333333333
25129,21
25130,10.7
25131,13.2
25132,21.2
25133,126.6
25142,167.4
25143,104.2
25144,77.5
25840,7.7
25841,43.525
25842,90.35
25843,11.4
25844,3.8
25845,11.4333333333333
25846,365.7
25847,38.2
25856,10.8
25862,54.9
25863,5.8
25864,9.4
25865,7.1
25868,26.2
25869,51.7
25870,15.5333333333333
25872,68.7
25880,17.15
25881,95
25882,169.5
26577,17.4
26578,64.66
26579,24.85
26582,9.03333333333333
26583,35.2
26584,25.3
26585,48.9
26586,22.35
26604,9.1
26605,9.8
26607,28.7666666666667
26612,15.9
26615,25.9
26616,22.7
26618,242
26619,164.1
27314,21.25
27315,21.6
27316,30.6
27317,11.7
27320,16.9
27321,22.98
27322,18.2
27323,39.9
27332,9.3
27339,16
27341,15.1
27342,5.1
27343,12
27344,10.5
27352,38.9
27353,39.7
27354,130.05
27356,119.7
28052,19.6
28054,48.8
28058,12.2
28059,18.2666666666667
28060,14.9
28069,13.2
28071,76.2
28072,27.5
28077,13.8
28078,15.1
28079,12.525
28080,3.7
28082,10.9
28084,57.7
28090,52.05
28091,27.8
28092,184.933333333333
28093,10.4
28790,51.05
28791,22
28796,35.1
28797,29.8
28806,12.35
28807,16.6
28808,60.6666666666667
28809,12.9
28815,25.7
28818,33.5
28819,31.4
28821,36.4
28823,17.2
28827,40.2
28828,21.05
28829,76.5
28830,13.65
29527,44.8
29531,16.7
29534,9.1
29535,16.35
29544,40.3
29546,34.1
29550,18.7
29552,8.2
29555,51.2
29556,26.75
29557,41.2
29558,190.6
29559,151.533333333333
29560,33.9
29564,71.6
29565,16
29566,18.9
29567,31
30265,11.2
30267,14.3
30268,34.5
30281,30.8
30294,14.95
30295,58.3333333333333
30296,6.9
30297,27.95
30298,27.6
30301,39.2
30303,21.9
30304,38.6
31001,144.6
31003,19
31031,18.4
31032,119.66
31033,71.2333333333333
31034,25.85
31035,50
31037,15
31038,10.8666666666667
31039,28.3
31041,99.8
31733,9.6
31736,95.15
31737,30.7
31738,115.5
31739,130.7
31768,48.225
31769,40.75
31770,37.1714285714286
31771,15.65
31772,5.6
31773,49.25
31775,14.4333333333333
31776,9.8
31777,58.95
31778,64.1
32470,21.7
32472,42.14
32473,90.15
32474,10.3
32486,5.1
32497,26.5
32503,9.5
32505,14.2
32506,8.3
32507,16.725
32508,122.9
32509,55.5666666666667
32511,11.7666666666667
32512,23.9333333333333
32513,28.1
32514,39.4285714285714
32515,39.75
32516,43.55
33187,5.7
33207,25.3
33209,40.5
33210,43.85
33211,10.55
33216,17.2
33221,5.1
33222,12.4
33224,17.5666666666667
33225,37.225
33226,29.9
33240,36.4
33242,36.0666666666667
33243,19.8
33245,10.15
33246,6
33248,9.4
33250,16.14
33251,28.35
33252,75.625
33949,10.6
33952,17.7
33953,9.5
33958,18.2
33960,44.35
33961,14.2666666666667
33962,88.2
33966,24.8
33979,42.7
33980,24.4
33981,103.4
33983,28.1
33986,17.3
33987,19.35
33988,26.7
34656,7.6
34662,26.3
34663,6.6
34666,9.3
34689,11.2333333333333
34690,58.55
34692,56.9
34694,30.4
34697,56.65
34698,36.4
34700,49.3
34703,13.1
34707,20
34708,13.8
34711,7.8
34714,51.9
34716,96.3
34717,51.7
34718,92.5
34719,10.3
34723,6.1
34724,8.8
34725,19.2
35395,8.5
35396,133.8
35398,4.5
35399,43.15
35401,10.5
35402,9.2
35419,9.8
35424,50.7
35427,27.6
35428,9.35
35429,11.2
35435,46.9
35439,15.1
35444,28.95
35445,39.75
35448,15.8
35449,51.3
35450,87.8
35454,9.1
35462,19.5
36129,7.35
36130,24.8
36133,131.8
36136,26.2
36138,3.9
36140,14.6
36148,12.7
36151,23.45
36163,71.4
36172,39.2
36176,21.8
36180,44.8
36181,45.4833333333333
36182,20.1
36187,114.9
36188,30.325
36191,7.6
36193,92
36194,144.35
36195,31.7
36196,53
36198,33
36200,9.5
36201,88.4
36865,33.2
36867,24.5
36868,4.8
36875,7.4
36877,23.5
36879,4.6
36881,10.6
36883,15.4
36887,27.2
36900,33.2
36907,10.7
36908,8.4
36909,10.8
36914,21.4
36916,76.05
36917,50.98
36918,34.6714285714286
36919,16.4
36920,11.25
36923,26.2
36924,126.2
36926,11.1
36930,39.75
36931,128.1
36933,13.9
36934,21.4
36935,43.8
36938,36.4
37612,49.9
37614,124.6
37615,30.05
37616,6.4
37617,22.2
37618,20.75
37619,18.6666666666667
37620,35.4666666666667
37621,28.3
37622,11.5
37623,35.1666666666667
37624,49.7
37628,7.8
37636,11.8
37642,27.5
37647,9
37652,44.2
37653,79.75
37654,37.7833333333333
37655,41.6833333333333
37656,39.45
37657,31.9
37658,37.8
37659,10.1
37662,32.9
37665,5.9
37667,28
37668,15.8
37669,14.6
37670,14.5333333333333
37671,70.95
37672,51.25
37673,48.55
37674,34.6
38345,26.2
38346,24.7
38349,24.1
38351,45.2666666666667
38352,28
38354,10.5
38355,14.25
38356,23.8333333333333
38357,19.7
38358,11.6
38360,26.4
38361,12.1
38369,50.4
38371,13
38379,16.9
38383,16.95
38389,16.5
38390,46.3833333333333
38391,42.12
38392,45.6666666666667
38393,86.5
38394,88.85
38395,9.4
38400,10.5
38402,58.3333333333333
38403,33.3
38404,45.4
38407,31.68
38408,30.1
38409,38.2
38410,10.225
38411,21.36
39079,31.8
39082,9.7
39083,31.1
39084,8.3
39086,9.95
39089,8.8
39092,10.9333333333333
39093,19.72
39094,62.2
39095,16.1
39096,8.5
39097,13.3
39100,31.8
39104,151.6
39107,25.4
39111,7.1
39122,32.1
39123,7.35
39124,103.5
39127,29.8
39128,17.74
39130,89.22
39131,34.8714285714286
39132,32
39133,7.4
39139,75.3
39140,72.8
39145,28.92
39146,86.9
39147,24.82
39148,34.62
39149,8.7
39813,6.55
39814,18.2
39815,23.5
39817,8.7
39820,27
39821,13
39823,8.85
39825,21.75
39826,23.2
39830,6.9
39832,7.1
39834,20.8333333333333
39835,7.2
39836,10.9
